échapper	to escape, avoid	[sound:%C3%A9chapper.mp3]
échouer	to fail, run aground	[sound:%C3%A9chouer.mp3]
éclore	to open, hatch	[sound:%C3%A9clore.mp3]
éconduire	to dismiss, reject, turn away	[sound:%C3%A9conduire.mp3]
écraser	to crush, squash, stub out, mash, grind, pound, flatten	[sound:%C3%A9craser.mp3]
effrayer	to frighten	[sound:effrayer.mp3]
égayer	to amuse, cheer up, enliven, entertain	[sound:%C3%A9gayer.mp3]
retirer	to draw (out) again, pull again, take something out/off	[sound:retirer.mp3]
inscrire	to note down, score	[sound:inscrire.mp3]
insister	to insist	[sound:insister.mp3]
instruire	to instruct	[sound:instruire.mp3]
interdire	to forbid, prohibit	[sound:interdire.mp3]
s'intéresser	to be interested in	[sound:s%27int%C3%A9resser.mp3]
interroger	to question, ask, interrogate	[sound:interroger.mp3]
interrompre	to interrupt	[sound:interrompre.mp3]
intervenir	to intervene, play a part, give a talk	[sound:intervenir.mp3]
introduire	to introduce, show in	[sound:introduire.mp3]
inventer	to invent, devise, make up	[sound:inventer.mp3]
jaillir	to spurt out, gush out, flow, ring out, spring out, shoot out	[sound:jaillir.mp3]
jaser	to chatter	[sound:jaser.mp3]
jaunir	to turn yellow	[sound:jaunir.mp3]
jeter	to throw, cast	[sound:jeter.mp3]
joindre	to join, contact	[sound:joindre.mp3]
jouir	to enjoy	[sound:jouir.mp3]
juger	to judge, deem	[sound:juger.mp3]
jurer	to swear, vow	[sound:jurer.mp3]
kidnapper	to kidnap	[sound:kidnapper.mp3]
klaxonner	to honk	[sound:klaxonner.mp3]
lâcher	to loosen, unleash, let go	[sound:l%C3%A2cher.mp3]
laisser	to let, allow, leave (alone)	[sound:laisser.mp3]
lancer	to hurl, launch, throw	[sound:lancer.mp3]
loger	to live, lodge	[sound:loger.mp3]
louer	to praise, rent, rent out	[sound:louer.mp3]
luire	to shine, glisten, glimmer, twinkle	[sound:luire.mp3]
maigrir	to lose weight, grow thin	[sound:maigrir.mp3]
maintenir	to maintain, support	[sound:maintenir.mp3]
manquer	to miss, lack	[sound:manquer.mp3]
marcher	to walk, march, run (machine), function	[sound:marcher.mp3]
maudire	to curse	[sound:maudire.mp3]
méconnaître	to misjudge, misunderstand, not to know, not to recognize	[sound:m%C3%A9conna%C3%AEtre.mp3]
médire	to malign, slander	[sound:m%C3%A9dire.mp3]
mélanger	to mix, blend, shuffle	[sound:m%C3%A9langer.mp3]
menacer	to threaten	[sound:menacer.mp3]
mener	to lead, control	[sound:mener.mp3]
mentir	to lie	[sound:mentir.mp3]
mépriser	to despise, scorn	[sound:m%C3%A9priser.mp3]
mériter	to deserve, to call for, merit	[sound:m%C3%A9riter.mp3]
mesurer	to measure	[sound:mesurer.mp3]
modérer	to moderate, restrain, reduce	[sound:mod%C3%A9rer.mp3]
montrer	to show, display, exhibit, point out	[sound:montrer.mp3]
moquer	to mock, make fun of	[sound:moquer.mp3]
mordre	to bite	[sound:mordre.mp3]
moudre	to mill, grind	[sound:moudre.mp3]
mouiller	to get something wet, dampen, baste, drop anchor	[sound:mouiller.mp3]
naviguer	to navigate, sail, browse, surf (internet)	[sound:naviguer.mp3]
négliger	to neglect, be careless about, pay no attention to	[sound:n%C3%A9gliger.mp3]
négocier	to negotiate	[sound:n%C3%A9gocier.mp3]
neutraliser	to neutralize, overpower	[sound:neutraliser.mp3]
nier	to deny	[sound:nier.mp3]
noircir	to blacken, dirty, darken	[sound:noircir.mp3]
nommer	to name, appoint	[sound:nommer.mp3]
nouer	to tie, knot	[sound:nouer.mp3]
nourrir	to feed, nourish	[sound:nourrir.mp3]
se noyer	to drown	[sound:se+noyer.mp3]
nuire	to harm, hinder	[sound:nuire.mp3]
obliger	to oblige	[sound:obliger.mp3]
omettre	to omit	[sound:omettre.mp3]
oser	to dare	[sound:oser.mp3]
paraître	to appear, seem	[sound:para%C3%AEtre.mp3]
parcourir	to cover, travel up and down, go all over	[sound:parcourir.mp3]
partager	to divide up, share	[sound:partager.mp3]
participer	to participate, take part in, be involved in	[sound:participer.mp3]
patiner	to skate	[sound:patiner.mp3]
pécher	to sin	[sound:p%C3%A9cher.mp3]
pêcher	to fish	[sound:p%C3%AAcher.mp3]
se peigner	to comb one's hair	[sound:se+peigner.mp3]
peindre	to paint, portray	[sound:peindre.mp3]
peler	to peel	[sound:peler.mp3]
pendre	to hang, suspend	[sound:pendre.mp3]
pénétrer	to enter, penetrate	[sound:p%C3%A9n%C3%A9trer.mp3]
percevoir	to perceive, detect, feel	[sound:percevoir.mp3]
périr	to perish, die	[sound:p%C3%A9rir.mp3]
permettre	to permit, allow, let	[sound:permettre.mp3]
persuader	to persuade, convince, induce	[sound:persuader.mp3]
peser	to weigh	[sound:peser.mp3]
pianoter	to tap (like a piano), drum one's fingers	[sound:pianoter.mp3]
plaindre	to pity	[sound:plaindre.mp3]
plaire	to please	[sound:plaire.mp3]
plaisanter	to joke (2)	[sound:plaisanter.mp3]
planter	to plant, stick, dump	[sound:planter.mp3]
plier	to fold, bend	[sound:plier.mp3]
plonger	to dive, swoop, plummet	[sound:plonger.mp3]
pondre	to lay (an egg)	[sound:pondre.mp3]
poser	to lay, place, put, set, pose	[sound:poser.mp3]
posséder	to possess, own, master	[sound:poss%C3%A9der.mp3]
poursuivre	to pursue, prosecute	[sound:poursuivre.mp3]
pousser	to push, grow	[sound:pousser.mp3]
prédire	to predict, foretell	[sound:pr%C3%A9dire.mp3]
préparer	to prepare	[sound:pr%C3%A9parer.mp3]
prescrire	to prescribe, recommend	[sound:prescrire.mp3]
présenter	to present, introduce	[sound:pr%C3%A9senter.mp3]
pressentir	to sense, have a premonition	[sound:pressentir.mp3]
presser	to press, squeeze	[sound:presser.mp3]
prétendre	to pretend, claim, maintain	[sound:pr%C3%A9tendre.mp3]
prêter	to lend	[sound:pr%C3%AAter.mp3]
se prévaloir	to pride onself on	[sound:se+pr%C3%A9valoir.mp3]
prévenir	to warn, forestall, ward off, prevent	[sound:pr%C3%A9venir.mp3]
prévoir	to foresee	[sound:pr%C3%A9voir.mp3]
prier	to pray, supplicate, entreat beg, request	[sound:prier.mp3]
produire	to produce	[sound:produire.mp3]
